id,sleep_hours,work_hours,screen_time,physical_activity,social_interaction,stress_level,diet_quality,smoking,risk_level
1,8.0,7.0,6.7,3,2,3.0,Unhealthy,Yes,Low
2,6.7,8.1,6.6,1,5,1.0,Healthy,Yes,Low
3,8.3,7.2,4.1,3,3,10.0,Healthy,No,High
4,10.0,9.3,7.2,3,4,6.0,Healthy,Yes,Medium
5,6.5,12.6,3.0,3,2,3.0,Healthy,No,Low
6,40.0,6.7,4.7,2,3,2.0,Unhealthy,no,Low
7,10.2,12.0,2.0,1,1,10.0,Healthy,No,High
8,8.5,6.7,9.1,3,3,2.0,Unhealthy,No,Low
9,6.1,6.5,5.5,0,3,8.0,Unhealthy,No,High
10,8.1,11.5,10.3,5,1,1.0,Unhealthy,No,Low
11,6.1,11.8,7.6,5,4,9.0,Healthy,Yes,High
12,6.1,11.6,6.9,1,5,7.0,Healthy,no,High
13,7.5,5.1,4.8,4,0,1.0,Healthy,No,Low
14,3.2,7.6,3.9,0,4,5.0,Unhealthy,No,Medium
15,3.6,11.5,7.0,4,0,,Healthy,Yes,Medium
16,5.9,9.1,5.9,3,0,2.0,Unhealthy,No,Low
17,5.0,5.8,3.3,2,0,1.0,Unhealthy,No,Low
18,7.6,10.4,3.0,3,2,7.0,Unhealthy,Yes,High
19,5.2,6.9,4.1,3,4,9.0,Unhealthy,Yes,High
20,4.2,14.4,9.6,4,3,8.0,Healthy,Yes,High
21,9.9,13.6,10.4,3,2,7.0,Unhealthy,No,High
22,6.5,10.8,6.4,0,1,4.0,Unhealthy,No,Medium
23,7.1,13.1,6.3,2,1,10.0,Unhealthy,No,High
24,4.2,9.2,5.3,4,0,7.0,Unhealthy,Yes,High
25,5.9,11.3,4.1,1,2,8.0,Healthy,Yes,High
26,7.2,13.4,8.8,5,5,9.0,Unhealthy,No,High
27,4.7,9.7,9.7,3,5,9.0,Unhealthy,Yes,High
28,7.8,8.2,4.2,5,2,5.0,Unhealthy,Yes,Medium
29,5.8,3.9,5.8,4,1,5.0,Healthy,Yes,Medium
30,6.4,8.8,5.1,5,3,6.0,Healthy,No,Medium
31,5.8,11.5,5.2,3,4,8.0,Healthy,No,High
32,10.7,11.8,8.4,3,4,3.0,Unhealthy,Yes,Low
33,7.0,10.5,3.4,4,0,3.0,Healthy,No,Low
34,4.9,7.4,6.9,0,0,5.0,Unhealthy,Yes,Medium
35,8.6,3.1,7.5,1,0,1.0,Healthy,Yes,Low
36,4.6,7.5,5.7,3,1,5.0,Healthy,No,Medium
37,7.4,8.1,7.8,0,1,9.0,Unhealthy,Yes,High
38,3.1,8.1,6.3,3,5,5.0,Healthy,No,Medium
39,4.3,10.9,8.4,3,4,7.0,Healthy,No,High
40,7.4,15.0,3.0,0,5,10.0,Unhealthy,No,High
41,8.5,9.4,5.3,3,5,9.0,Unhealthy,No,High
42,7.3,8.3,5.9,1,0,8.0,Unhealthy,No,High
43,6.8,8.2,0.7,5,5,5.0,Healthy,No,Medium
44,6.4,9.4,3.8,4,2,2.0,Unhealthy,Yes,Low
45,,6.5,4.4,5,5,5.0,Unhealthy,No,Medium
46,5.6,9.4,7.9,0,3,10.0,Healthy,No,High
47,6.1,10.4,4.6,5,1,8.0,Unhealthy,No,High
48,9.1,9.6,4.4,2,5,1.0,Healthy,Yes,Low
49,7.7,10.4,7.6,3,0,10.0,Unhealthy,Yes,High
50,3.5,10.3,2.8,4,0,4.0,Unhealthy,Yes,Medium
51,7.6,3.7,1.9,1,1,1.0,Unhealthy,Yes,Low
52,6.2,10.9,5.3,1,4,5.0,Healthy,Yes,Medium
53,5.6,7.0,3.1,2,4,2.0,Unhealthy,Yes,Low
54,8.2,5.7,3.2,5,4,2.0,Unhealthy,Yes,Low
55,9.1,5.7,7.1,1,4,7.0,Healthy,No,High
56,8.9,10.3,7.8,5,2,4.0,Unhealthy,Yes,Medium
57,5.3,8.3,7.6,4,0,2.0,Unhealthy,Yes,Low
58,6.4,4.0,8.2,2,4,3.0,Healthy,No,Low
59,7.7,10.4,8.5,5,4,3.0,Healthy,No,Low
60,9.0,4.7,1.7,0,5,2.0,Unhealthy,No,Low
61,6.0,9.4,6.9,5,3,7.0,Unhealthy,Yes,High
62,6.6,9.7,4.9,5,3,1.0,Healthy,No,Low
63,4.8,11.7,4.5,2,0,9.0,Healthy,Yes,High
64,4.6,14.3,7.1,0,5,5.0,Healthy,No,Medium
65,8.6,4.9,2.5,1,1,4.0,Unhealthy,No,Medium
66,9.7,8.8,2.5,4,4,3.0,Unhealthy,no,Low
67,6.9,8.2,7.3,5,2,3.0,Healthy,No,Low
68,9.0,10.3,7.0,3,3,3.0,Healthy,No,Low
69,7.7,9.6,6.3,2,4,1.0,Unhealthy,Yes,Low
70,5.7,7.9,4.2,1,1,2.0,Unhealthy,No,Low
71,7.7,7.7,7.5,5,2,7.0,Healthy,No,High
72,10.1,5.7,7.4,4,3,3.0,Healthy,No,Low
73,6.9,12.0,6.2,3,5,6.0,Healthy,No,Medium
74,10.1,10.4,3.6,2,1,4.0,Healthy,Yes,Medium
75,1.8,11.8,5.1,4,1,10.0,Unhealthy,No,High
76,8.6,8.1,7.7,1,5,5.0,Healthy,Yes,Medium
77,7.2,7.0,8.7,5,2,8.0,Unhealthy,Yes,High
78,6.4,5.8,5.3,5,2,2.0,Healthy,Yes,Low
79,7.2,10.1,5.5,5,3,10.0,Healthy,No,High
80,3.0,5.9,5.7,2,2,5.0,Unhealthy,No,Medium
81,6.6,14.5,6.5,5,4,2.0,Healthy,No,Low
82,7.7,5.1,4.8,2,2,9.0,Healthy,Yes,High
83,10.0,9.8,0.2,5,5,2.0,Unhealthy,No,Low
84,6.0,13.7,8.4,0,1,1.0,Healthy,Yes,Low
85,5.4,10.8,9.6,5,2,4.0,Unhealthy,Yes,Medium
86,6.0,9.5,4.8,0,3,7.0,Unhealthy,No,High
87,8.8,6.1,3.9,2,4,2.0,Unhealthy,Yes,Low
88,7.7,4.9,5.7,4,2,10.0,Unhealthy,No,High
89,5.9,11.3,5.6,1,4,9.0,Healthy,No,High
90,8.0,13.5,8.0,3,2,1.0,Unhealthy,No,Low
91,7.2,7.7,6.1,0,4,1.0,Unhealthy,No,Low
92,8.9,5.6,4.4,1,2,8.0,Unhealthy,No,High
93,5.6,24.0,3.4,5,2,5.0,Healthy,No,Medium
94,6.3,6.1,7.7,2,0,9.0,Unhealthy,No,High
95,6.2,8.7,7.2,1,1,8.0,Unhealthy,Yes,High
96,4.1,13.8,8.1,1,3,6.0,Healthy,Yes,Medium
97,7.6,11.0,4.1,5,3,4.0,Unhealthy,Yes,Medium
98,7.5,9.9,9.7,1,0,6.0,Healthy,Yes,Medium
99,7.0,7.8,20.0,2,2,2.0,Unhealthy,Yes,Low
100,6.5,7.3,7.4,0,1,5.0,Healthy,Yes,Medium
101,4.2,13.2,2.2,3,4,10.0,Unhealthy,No,High
102,6.2,9.6,4.4,4,0,3.0,Healthy,No,Low
103,6.3,2.7,9.1,0,3,3.0,Healthy,No,Low
104,5.4,7.0,7.7,3,3,1.0,Unhealthy,Yes,Low
105,6.7,6.4,4.9,2,5,8.0,Healthy,No,High
106,7.8,7.4,5.0,3,5,10.0,Healthy,No,High
107,10.8,10.7,6.2,2,3,3.0,Unhealthy,Yes,Low
108,7.3,8.7,7.0,3,2,1.0,Healthy,Yes,Low
109,7.5,8.8,8.5,0,5,4.0,Healthy,No,Medium
110,6.9,12.9,5.1,5,4,1.0,Healthy,No,Low
111,3.2,6.9,2.8,5,4,1.0,Healthy,Yes,Low
112,6.9,14.6,6.3,5,4,1.0,Healthy,No,Low
113,7.1,7.0,5.1,2,2,2.0,Healthy,No,Low
114,11.9,9.3,3.4,1,3,1.0,Unhealthy,Yes,Low
115,6.6,8.2,6.6,5,5,6.0,Healthy,Yes,Medium
116,7.6,9.4,5.6,2,5,7.0,Healthy,Yes,High
117,6.9,10.3,6.6,2,3,1.0,Healthy,Yes,Low
118,4.7,10.3,4.2,3,2,10.0,Unhealthy,Yes,High
119,9.3,6.7,7.0,2,1,1.0,Unhealthy,Yes,Low
120,8.5,5.6,3.4,3,2,10.0,Healthy,No,High
121,8.6,16.5,4.3,0,2,9.0,Unhealthy,No,High
122,5.2,7.5,5.5,2,3,9.0,Healthy,No,High
123,9.8,11.1,9.5,1,4,1.0,Unhealthy,No,Low
124,4.2,4.2,7.6,1,3,8.0,Unhealthy,Yes,High
125,8.2,8.2,8.2,0,5,3.0,Unhealthy,No,Low
126,11.4,8.6,8.8,5,1,7.0,Unhealthy,Yes,High
127,5.0,10.4,13.2,1,0,1.0,Healthy,Yes,Low
128,5.9,0.8,6.1,3,5,7.0,Healthy,Yes,High
129,7.2,9.5,8.8,2,0,1.0,Healthy,No,Low
130,6.0,5.6,8.0,4,2,3.0,Unhealthy,No,Low
131,3.9,10.0,8.0,2,0,7.0,Healthy,Yes,High
132,7.1,5.9,9.5,2,5,1.0,Unhealthy,Yes,Low
133,4.9,6.4,5.2,4,4,9.0,Healthy,No,High
